Date,Province/State,Country/Region,adm0_a3,Lat,Long,Population,admin,r_admin,i_admin,ri_admin,Tot_admin,iTot_admin,rTot_admin,riTot_admin,full,r_full,i_full,ri_full,Tot_full,iTot_full,rTot_full,riTot_full
4/8/21,Distrito Federal,Brazil,BRA,-15.7998,-47.8645,3015268.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Espirito Santo,Brazil,BRA,-19.1834,-40.3089,4018650.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Goias,Brazil,BRA,-15.827,-49.8362,7018354.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Maranhao,Brazil,BRA,-4.9609,-45.2744,7075181.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Mato Grosso,Brazil,BRA,-12.6819,-56.9211,3484466.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Mato Grosso do Sul,Brazil,BRA,-20.7722,-54.7852,2778986.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Minas Gerais,Brazil,BRA,-18.5122,-44.555,21168791.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Para,Brazil,BRA,-1.9981,-54.9306,8602865.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Paraiba,Brazil,BRA,-7.24,-36.782,4018127.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
4/8/21,Parana,Brazil,BRA,-25.2521,-52.0215,11433957.0,0.0,0.0,0.0,0.0,24981199.0,783203.0,11887.4807,372.6927,0.0,0.0,0.0,0.0,5595142.0,256420.0,2662.488,122.0193
